Time, CPU, Memory
0, 6.2, 582.121
1, 6.2, 1454.44
3, 6.2, 2413.13
4, 6.2, 3423.93
5, 6.2, 3436.3
6, 6.2, 3470.76
7, 6.2, 3470.7
8, 7, 3470.7
10, 6.6, 3470.7
11, 6.2, 3467.82
12, 6.2, 4426.3
13, 6.2, 4426.22
14, 6.2, 4426.32
15, 6.2, 4426.27
17, 6.2, 4426.33
18, 6.2, 4426.18
19, 6.2, 4426.37
20, 6.2, 4426.27
21, 6.2, 4426.31
22, 6.6, 4426.24
23, 6.2, 4426.38
25, 6.2, 4426.35
26, 6.2, 4426.3
27, 6.2, 4426.23
28, 26, 385.617
29, 24.9, 403.031
30, 24.3, 418.492
32, 23.6, 434.098
33, 25.8, 458
34, 24.8, 478.328
35, 24.8, 494.504
36, 24.6, 513.957
37, 26.1, 529.289
39, 26.8, 554.684
40, 24.7, 572.852
41, 24.2, 588.848
42, 26.2, 604.383
43, 24, 625.656
44, 25.7, 647.297
46, 24.6, 663.586
47, 24.6, 679.742
48, 26.3, 707.652
49, 24.7, 726.977
50, 24.3, 740.297
51, 23.9, 760.617
53, 24.8, 780.34
54, 24.8, 800.746
55, 25, 816.664
56, 24.7, 831.961
57, 24.5, 849.473
58, 24.8, 871.641
60, 25.5, 887.41
61, 24.8, 907.668
62, 24.8, 934.098
63, 26.2, 950.352
64, 24.8, 964.984
65, 24.8, 982.074
66, 23.7, 1001.73
68, 24.8, 1018.61
69, 24.7, 1034.07
70, 24.8, 1049.32
71, 24.8, 1066.65
72, 24, 1087.68
73, 23.5, 1106.53
75, 18.6, 1121.18
76, 18.1, 1132.26
77, 6, 1145.61
78, 6.1, 1149.76
79, 7.4, 1203.64
80, 24.8, 1178.72
82, 26.2, 1178.73
83, 24.9, 1176.62
84, 24.8, 1179.16
85, 24.7, 1179.62
86, 26.2, 1179.78
87, 25, 1179.98
89, 24.8, 1180
90, 24.8, 1180.16
91, 24.8, 1180.28
92, 24.7, 1182.75
93, 24.7, 1182.84
94, 24.8, 1181.75
96, 24.8, 1183.06
97, 24.9, 1182.12
98, 24.9, 1183.44
99, 24.8, 1183.81
100, 24.8, 1183.75
101, 24.8, 1184.3
103, 24.8, 1184.22
104, 26.2, 1184.56
105, 24.7, 1184.77
106, 24.8, 1185.31
107, 26, 1185.62
108, 24.8, 1185.64
110, 24.7, 1185.93
111, 24.8, 1185.81
112, 24.8, 1186
113, 24.7, 1186.31
114, 26.3, 1186.4
115, 24.6, 1186.65
116, 24.2, 1186.04
118, 6.2, 1187.8
119, 6.2, 1187.72
120, 6, 1319.49
121, 25.4, 386.09
122, 23.8, 404.062
123, 24.1, 423.898
125, 23.8, 440.164
126, 24.7, 460.523
127, 24.6, 476.77
128, 26.2, 501.328
129, 24.9, 517.094
130, 24.7, 541.066
132, 24, 562.508
133, 25.3, 581.133
134, 23.9, 596.941
135, 25.3, 614.98
136, 24.8, 640.117
137, 23.9, 661.438
139, 24.9, 677.652
140, 26.2, 693.73
141, 24.3, 721.695
142, 23.7, 736.531
143, 23.8, 761.07
144, 23.7, 782.191
146, 24.8, 802.086
147, 24.6, 822.184
148, 23.7, 843.898
149, 24.2, 855.812
150, 24.4, 873.605
151, 23.7, 893.762
152, 23.9, 915.305
154, 25.9, 938.773
155, 24.6, 955.008
156, 23.8, 969.504
157, 23.6, 986.051
158, 26.6, 1011.71
159, 25.1, 1027.81
161, 24.7, 1044.01
162, 24.2, 1064.96
163, 24.5, 1080.46
164, 24.8, 1109.77
165, 24.7, 1130.26
166, 12.5, 1146.05
168, 7, 1150.2
169, 6.9, 1158.41
170, 26.2, 393.742
171, 25.2, 407.801
172, 24.7, 433.031
173, 26.2, 445.434
175, 24.8, 470.938
176, 24.5, 496.758
177, 24.6, 526.121
178, 24.9, 544.965
179, 26, 568.734
180, 24.8, 598.242
